"195","3C0","Annobon I.","AF","1.30N","5.36E","36","52","A","11-15-45","3C0","",""
"001","VE1","Nova Scotia","NA","44.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE2","Quebec","NA","52.54N","73.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE3","Ontario","NA","51.54N","87.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE4","Manitoba","NA","55.54N","96.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE5","Saskatchewan","NA","54.54N","105.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE6","Alberta","NA","53.54N","114.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE7","British Col.","NA","54.54N","124.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE8","NW Ter.","NA","63.54N","119.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VE9","NB","NA","46.54N","66.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"060","C6","Bahamas","NA","25.00N","77.30W","8","11","A","11-15-45","C6","",""
"001","VA1","Nova Scotia","NA","44.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","CG1","Nova Scotia","NA","44.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VA2","Quebec","NA","52.54N","73.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VA3","Ontario","NA","51.54N","87.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VA4","Manitoba","NA","55.54N","96.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VA5","Saskatchewan","NA","54.54N","105.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VA6","Alberta","NA","53.54N","114.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VA7","British Col.","NA","54.54N","124.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VA8","NW Ter.","NA","63.54N","119.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VA9","NB","NA","46.54N","66.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VC1","Nova Scotia","NA","44.54N","63.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VC2","Quebec","NA","52.54N","73.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VC3","Ontario","NA","51.54N","87.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VC4","Manitoba","NA","55.54N","96.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VC5","Saskatchewan","NA","54.54N","105.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VC6","Alberta","NA","53.54N","114.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
"001","VC7","British Col.","NA","54.54N","124.06W","5","2","A","11-15-45","VE,VA,VB,VC,VD,VF,VG,XN,XL,VY,VX,CY,VO,CF,CG,CH,CI,CZ,XO,CJ,XJ,XK,XM,CK","",""
